original_title,release_date
Mission to Mars,3/10/00
Rio,4/3/11
Bicentennial Man,12/17/99
Volcano,4/25/97
The Devil's Own,3/12/97
K-19: The Widowmaker,7/19/02
Conan the Barbarian,4/2/82
Cinderella Man,6/2/05
The Nutcracker: The Untold Story,11/24/10
Seabiscuit,7/22/03
Twister,5/10/96
Cast Away,12/22/00
Happy Feet,11/16/06
The Bourne Supremacy,7/23/04
Air Force One,7/25/97
Ocean's Eleven,12/7/01
The Three Musketeers,8/31/11
Hotel Transylvania,9/20/12
Enchanted,11/20/07
Safe House,2/9/12
102 Dalmatians,10/7/00
Tower Heist,11/2/11
The Holiday,12/8/06
Enemy of the State,11/20/98
It's Complicated,12/23/09
Ocean's Thirteen,6/7/07
Open Season,9/29/06
Divergent,3/14/14
Enemy at the Gates,3/13/01
The Rundown,9/26/03
Last Action Hero,6/18/93
Memoirs of a Geisha,12/6/05
The Fast and the Furious: Tokyo Drift,6/3/06
Arthur Christmas,2/22/11
Meet Joe Black,11/12/98
Collateral Damage,2/6/02
All That Jazz,12/20/79
Mirror Mirror,3/15/12
Scott Pilgrim vs. the World,7/27/10
The Core,3/28/03
Nutty Professor II: The Klumps,7/27/00
Scooby-Doo,6/14/02
Dredd,9/7/12
Click,6/22/06
Creepshow,11/12/82
Cats & Dogs 2 : The Revenge of Kitty Galore,7/30/10
Jumper,2/10/08
Hellboy II: The Golden Army,7/11/08
Zodiac,3/2/07
The 6th Day,11/17/00
Bruce Almighty,5/23/03
The Expendables,8/3/10
Mission: Impossible,5/22/96
The Hunger Games,3/12/12
The Hangover Part II,5/25/11
Batman Returns,6/19/92
Over the Hedge,4/22/06
Lilo & Stitch,6/21/02
Charlotte's Web,12/15/06
Deep Impact,5/8/98
RED 2,7/18/13
The Longest Yard,5/19/05
Alvin and the Chipmunks: Chipwrecked,12/14/11
Grown Ups 2,7/11/13
Get Smart,6/19/08
Something's Gotta Give,12/12/03
Shutter Island,2/18/10
Four Christmases,11/26/08
Robots,3/10/05
Face/Off,6/27/97
Bedtime Stories,12/24/08
Road to Perdition,7/12/02
Just Go with It,2/10/11
Con Air,6/1/97
Eagle Eye,9/25/08
Cold Mountain,12/24/03
The Book of Eli,1/14/10
Flubber,11/26/97
The Haunting,7/23/99
Space Jam,11/15/96
The Pink Panther,1/18/06
The Day the Earth Stood Still,12/10/08
Conspiracy Theory,8/7/97
Fury,10/15/14
Six Days Seven Nights,6/12/98
Yogi Bear,12/11/10
Spirit: Stallion of the Cimarron,5/24/02
Zookeeper,7/6/11
Lost in Space,4/3/98
The Manchurian Candidate,7/30/04
Déjà Vu,4/22/98
Hotel Transylvania 2,9/21/15
Fantasia 2000,12/17/99
The Time Machine,3/4/02
Mighty Joe Young,12/25/98
Swordfish,6/7/01
The Legend of Zorro,10/24/05
What Dreams May Come,10/2/98
Little Nicky,11/10/00
The Brothers Grimm,8/26/05
Mars Attacks!,12/12/96
The Edge,9/6/97
Surrogates,9/24/09
Thirteen Days,12/24/00
Daylight,12/6/96
Walking With Dinosaurs,12/18/13
Battlefield Earth,5/10/00
Looney Tunes: Back in Action,11/14/03
Nine,12/3/09
Timeline,11/26/03
The Postman,12/25/97
Babe: Pig in the City,11/25/98
The Last Witch Hunter,10/21/15
Red Planet,11/10/00
Arthur et les Minimoys,12/13/06
Oceans,10/17/09
A Sound of Thunder,5/15/05
Pompeii,2/18/14
Don Gato: El inicio de la pandilla,10/30/15
A Beautiful Mind,12/11/01
The Lion King,6/23/94
Journey 2: The Mysterious Island,1/19/12
Cloudy with a Chance of Meatballs 2,9/26/13
Red Dragon,9/29/02
Hidalgo,3/5/04
Jack and Jill,11/11/11
2 Fast 2 Furious,6/5/03
The Little Prince,7/29/15
The Invasion,8/17/07
The Adventures of Rocky & Bullwinkle,6/30/00
The Secret Life of Pets,6/18/16
The League of Extraordinary Gentlemen,7/11/03
Despicable Me 2,6/25/13
Independence Day,6/25/96
The Lost World: Jurassic Park,5/23/97
Madagascar,5/25/05
Children of Men,9/22/06
X-Men,7/13/00
Wanted,6/19/08
The Rock,6/6/96
Ice Age: The Meltdown,3/23/06
50 First Dates,2/13/04
Hairspray,7/13/07
Exorcist: The Beginning,8/20/04
Inspector Gadget,7/23/99
Now You See Me,5/29/13
Grown Ups,6/24/10
The Terminal,6/17/04
Hotel for Dogs,1/16/09
Vertical Limit,12/8/00
Charlie Wilson's War,12/19/07
Shark Tale,9/20/04
Dreamgirls,12/25/06
Be Cool,3/4/05
Munich,12/22/05
Tears of the Sun,3/7/03
Killers,6/4/10
The Man from U.N.C.L.E.,8/13/15
Spanglish,12/17/04
Monster House,7/21/06
Bandits,10/12/01
First Knight,7/7/95
Anna and the King,12/16/99
Immortals,11/10/11
Hostage,3/9/05
Titan A.E.,6/16/00
Hollywood Homicide,6/9/03
Soldier,10/23/98
Carriers,9/4/09
Monkeybone,2/23/01
Flight of the Phoenix,12/17/04
Unbreakable,11/13/00
Minions,6/17/15
Sucker Punch,3/24/11
Snake Eyes,8/7/98
Sphere,2/13/98
The Angry Birds Movie,5/11/16
Fool's Gold,2/7/08
Funny People,7/31/09
The Kingdom,8/22/07
Talladega Nights: The Ballad of Ricky Bobby,8/4/06
